date,action,price,pnl,commission
2018-03-16,buy,2752.010009765625,0.0,0.8329168748958854
2018-03-22,sell (SL),2669.449709472656,-49.975012493753155,0.8079293686490088
2019-01-24,buy,2642.330078125,0.0,0.8071218430431628
2019-03-08,sell (SL),2732.3734863281247,55.00902569626338,0.8346263558912945
2019-05-17,sell,2859.530029296875,0.0,0.8337921466400289
2019-06-05,buy (SL),2810.6743603515624,28.49102661493164,0.8195466333325631
2019-08-12,sell,2882.699951171875,0.0,2.4854784140889103
2019-08-19,buy (SL),2910.2753100585937,-47.551226582448976,2.5092540273801345
2019-09-11,buy,3000.929931640625,0.0,7.475218619234647
2019-10-02,sell (SL),2931.3302905273435,-346.7408736581962,7.301848182405549
2019-10-09,sell,2919.39990234375,0.0,7.2945499833226854
2019-10-17,buy (SL),3004.633720703125,-425.93845933389406,7.5075192129896315
2020-04-27,buy,2878.47998046875,0.0,22.081824507774623
2020-05-01,sell (SL),2866.2143041992185,-188.18856666764998,21.9877302244408
2020-09-23,sell,3236.919921875,0.0,21.965753482587285
2020-09-25,buy (SL),3305.7334497070315,-933.9378329445948,22.432722399059582
2020-10-09,buy,3477.139892578125,0.0,66.31985307649639
2020-10-15,sell (SL),3443.3545947265625,-1288.78104354897,65.67546255472189
2020-10-30,sell,3269.9599609375,0.0,65.60981991348778
2020-11-03,buy (SL),3368.058759765625,-3936.589194809264,67.5781145108924
2020-11-10,buy,3545.530029296875,0.0,198.66463296413048
2021-01-27,sell (SL),3754.7729052734376,23448.77003593541,210.38901798209818
2021-09-22,sell,4395.64013671875,0.0,210.17873410605415
2021-10-07,buy (SL),4407.308139648438,-1115.817495987339,210.73664285404783
2022-03-25,buy,4543.06005859375,0.0,630.6734060417082
2022-04-06,sell (SL),4498.180810546874,-12460.38919198215,624.4432114457171
2022-04-25,sell,4296.1201171875,0.0,623.8190802998444
2022-04-28,buy (SL),4287.786899414063,2420.0534927162175,622.6090535534862
2022-07-27,buy,4023.610107421875,0.0,1869.0014089219371
2022-08-22,sell (SL),4195.521391601563,159708.53226993716,1948.8556750569057
2022-09-07,sell,3979.8701171875,0.0,1946.907793322716
2022-09-09,buy (SL),4063.1543603515624,-81483.4340331103,1987.6495103392713
2022-11-03,buy,3719.889892578125,0.0,5877.5325059765455
2022-11-17,sell (SL),3907.974885253906,594359.3440998851,6174.712178026488
2022-12-27,sell,3829.25,0.0,6168.540551661645
2023-01-06,buy (SL),3894.2034301757812,-209267.01991712724,6273.174061620208
2023-01-18,buy,3928.860107421875,0.0,18597.819668078646
2023-02-10,sell (SL),4069.5767431640625,1332204.529699688,19263.92193292849
2023-03-07,sell,3986.3701171875,0.0,19244.66763814295
2023-03-14,buy (SL),3923.1259106445314,610637.5972014392,18939.348839542232
2023-04-05,buy,4090.3798828125,0.0,57390.519181817464
2023-05-04,sell (SL),4061.31232421875,-815671.0754680245,56982.68364408345
2023-09-11,buy,4487.4599609375,0.0,56925.729437542635
2023-09-21,sell (SL),4376.63052734375,-2811856.330927951,55519.80127207866
2023-11-13,buy,4411.5498046875,0.0,55464.30921683421
2024-04-15,sell (SL),5106.904594726562,17484727.49832884,64206.67296599863
2024-05-13,buy,5221.419921875,0.0,64142.49838032547
2024-07-19,sell (SL),5499.57982421875,6834106.948880876,67559.5518547659
2024-08-21,buy,5620.85009765625,0.0,67492.02606580564
2024-09-05,sell (SL),5482.0715136718745,-3332751.325837575,65825.65040288685
2025-01-02,sell,5868.5498046875,0.0,65759.85764886097
2025-01-15,buy (SL),5946.5093603515625,-1747146.8943630077,66633.43109604248
2025-01-27,buy,6012.27978515625,0.0,198020.8192685821
2025-02-03,sell (SL),5937.2828515625,-4940207.296916384,195550.71562012393
2025-05-07,buy,5631.27978515625,0.0,195355.2626309984
2025-05-23,sell (SL),5789.551567382812,10981242.901639394,200845.88408181808
2025-11-21,sell,6602.990234375,0.0,200645.13857049192
2025-11-26,buy (SL),6801.07994140625,-12038708.314229535,206664.49272760667
2025-12-03,buy,6849.72021484375,0.0,607547.6637903316
