date,action,price,pnl,commission
2020-02-05,sell,13478.330078125,0.0,0.8329168748958855
2020-02-26,buy (SL),12739.091298828125,91.36509497613623,0.7872343274078173
2020-05-04,buy,10466.7998046875,0.0,2.45144873566805
2020-05-13,sell (SL),10656.633134765625,88.92243774439316,2.495909954540247
2020-10-16,buy,12908.990234375,0.0,2.4934152919170183
2020-10-21,sell (SL),12637.8685546875,-104.73614586877396,2.4410472189826313
2021-07-23,sell,15669.2900390625,0.0,2.4386073916773015
2021-08-11,buy (SL),15886.266357421875,-67.5359320621468,2.472375357708375
2021-09-16,sell,15651.75,0.0,7.344681612577835
2021-09-22,buy (SL),15470.07494140625,170.5043157880128,7.259429454683828
2022-12-30,sell,13923.58984375,0.0,21.93419586717857
2023-01-04,buy (SL),14341.2975390625,-1316.051752030713,22.592221743193925
2023-03-20,sell,14933.3798828125,0.0,66.41610931202345
2023-03-28,buy (SL),15254.114921875,-2852.933974992291,67.8425762995196
2023-07-03,sell,16081.0400390625,0.0,200.54060333374986
2023-07-12,buy (SL),15919.8449609375,4020.4064094231267,198.5304001290383
2024-07-16,buy,18518.029296875,0.0,599.2127352288591
2024-08-01,sell (SL),18087.686621093748,-27850.351428497455,585.2875595146104
2024-11-20,sell,19004.779296875,0.0,584.7025644526268
2024-11-25,buy (SL),19467.0201171875,-28442.676319408467,598.923902612331
2025-11-11,sell,24088.060546875,0.0,1767.1459965679944
2025-11-26,buy (SL),23631.35236328125,67009.96426565677,1733.641014435166
