,date,action,price,pnl
0,2019-07-03,sell,7857.68994140625,0.0
1,2019-07-10,buy (SL),7903.194580078125,-28.95548119816196
2,2022-12-22,buy,10956.1396484375,0.0
3,2022-12-28,sell (SL),10786.948046874999,-232.08658608491555
