date,close,equity
2018-01-02,6511.33984375,4999.950024987506
2018-01-03,6575.7998046875,5000.939494875579
2018-01-04,6584.580078125,5001.074273365189
2018-01-05,6653.2900390625,5002.128981378806
2018-01-08,6676.6298828125,5002.487251415695
2018-01-09,6677.93994140625,5002.5073610079335
2018-01-10,6662.66015625,5002.272814056796
2018-01-11,6708.490234375,5002.976312501616
2018-01-12,6758.5400390625,5003.74458437026
2018-01-16,6737.14013671875,5003.416092719492
2018-01-17,6810.27978515625,5004.538797088228
2018-01-18,6811.3798828125,5004.555683749172
2018-01-19,6834.330078125,5004.907972625194
2018-01-22,6906.27978515625,5006.0124112182
2018-01-23,6963.4599609375,5006.890135332633
2018-01-24,6919.35009765625,5006.213042438858
2018-01-25,6916.2998046875,5006.166219992823
2018-01-26,7022.97021484375,5007.803626489242
2018-01-29,6988.31982421875,5007.271737893054
2018-01-30,6930.72998046875,5006.387725315003
2018-01-31,6949.990234375,5006.683373047327
2018-02-01,6901.5,5005.889065800035
2018-02-02,6760.2900390625,5001.676418268472
2018-02-05,6495.919921875,4993.789594179045
2018-02-06,6665.97998046875,4998.862912529225
2018-02-07,6582.02001953125,4996.358176178862
2018-02-08,6306.10009765625,4988.126792428886
2018-02-09,6412.68017578125,4991.306343645006
2018-02-12,6523.85009765625,4994.622821419389
2018-02-13,6553.85986328125,4995.51808804395
2018-02-14,6675.02978515625,4999.132890915486
2018-02-15,6794.919921875,5002.709514583915
2018-02-16,6770.66015625,5001.985784890217
2018-02-20,6779.68994140625,5002.2551660436175
2018-02-21,6759.259765625,5001.645682626138
2018-02-22,6761.85009765625,5001.722958731626
2018-02-23,6896.60009765625,5005.742889415761
2018-02-26,6989.10009765625,5008.502396564425
2018-02-27,6900.35009765625,5005.854761327193
2018-02-28,6854.419921875,5004.484548911974
2018-03-01,6750.5400390625,5001.335576286254
2018-03-02,6811.0400390625,5004.0362198288185
2018-03-05,6881.27978515625,5007.171633328314
2018-03-06,6913.02001953125,5008.588477278799
2018-03-07,6929.39013671875,5009.319218622161
2018-03-08,6966.43017578125,5010.972639156219
2018-03-09,7101.18017578125,5016.987708864659
2018-03-12,7131.1201171875,5018.324190012156
2018-03-13,7046.509765625,5014.547290845521
2018-03-14,7040.97998046875,5014.300448224463
2018-03-15,7030.97021484375,5013.853624936897
2018-03-16,7019.9501953125,5013.3617051916735
2018-03-19,6864.8798828125,5006.439562413218
2018-03-20,6885.919921875,5007.378763167423
2018-03-21,6853.4501953125,5005.929355607591
2018-03-22,6682.259765625,4998.287631169832
2018-03-23,6508.08984375,4990.512905966184
2018-03-26,6753.830078125,5001.482439472186
2018-03-27,6529.83984375,4991.48379847942
2018-03-28,6460.81005859375,4988.402396107075
2018-03-29,6581.1298828125,4993.773321004908
2018-04-02,6390.83984375,4985.229039129464
2018-04-03,6458.830078125,4989.327375701625
2018-04-04,6560.06005859375,4995.429348065274
2018-04-05,6594.83984375,4997.525814812126
2018-04-06,6433.2099609375,4987.7830382799675
2018-04-09,6472.33984375,4990.141721571311
2018-04-10,6615.8701171875,4998.793484199409
2018-04-11,6583.43994140625,4996.838647939942
2018-04-12,6656.259765625,5001.228104036358
2018-04-13,6628.33984375,4999.5451382698175
2018-04-16,6675.18017578125,5002.36859442614
2018-04-17,6816.3701171875,5010.879285789477
2018-04-18,6833.2099609375,5011.8943631479315
2018-04-19,6774.89013671875,5008.37894257798
2018-04-20,6667.75,5001.920715970919
2018-04-23,6648.7998046875,5000.778430182192
2018-04-24,6509.0498046875,4992.354536056447
2018-04-25,6513.93994140625,4992.649305244134
2018-04-26,6649.64990234375,5000.8296726340905
2018-04-27,6656.35009765625,5001.233549098737
2018-04-30,6605.56982421875,4998.172599924397
2018-05-01,6681.9599609375,5002.727293419739
2018-05-02,6644.47998046875,4999.907430797301
2018-05-03,6643.47998046875,4999.832194295382
2018-05-04,6769.1201171875,5009.28491868265
2018-05-07,6821.8701171875,5013.253644158845
2018-05-08,6815.47998046875,5012.772872625346
2018-05-09,6893.2099609375,5018.62100445
2018-05-10,6963.5498046875,5023.913128239237
2018-05-11,6952.56005859375,5023.086298186172
2018-05-14,6964.3701171875,5023.974845682217
2018-05-15,6888.5400390625,5018.269655863894
2018-05-16,6929.97021484375,5021.386717363539
2018-05-17,6901.6298828125,5019.254489918302
2018-05-18,6866.25,5016.592631297206
2018-05-21,6905.52978515625,5019.547904928469
2018-05-22,6893.6201171875,5018.651863171491
2018-05-23,6953.6298828125,5023.1667880180585
2018-05-24,6949.7001953125,5022.871132076926
2018-05-25,6960.919921875,5023.715265055969
2018-05-29,6926.5400390625,5021.128642936793
2018-05-30,6976.3701171875,5024.877683705238
2018-05-31,6967.72998046875,5024.227630042423
2018-06-01,7083.93017578125,5032.920151247476
2018-06-04,7143.56982421875,5038.248709600361
2018-06-05,7166.75,5040.319763379457
2018-06-06,7210.080078125,5044.191128415522
2018-06-07,7152.830078125,5039.076075364491
2018-06-08,7152.6201171875,5039.057316214553
2018-06-11,7168.47998046875,5040.474330049761
2018-06-12,7209.18017578125,5044.110725826368
2018-06-13,7205.259765625,5043.760453233687
2018-06-14,7279.58984375,5050.401541319217
2018-06-15,7255.759765625,5048.272421427173
2018-06-18,7251.41015625,5047.883801641943
2018-06-19,7228.0400390625,5045.795777376042
2018-06-20,7280.7001953125,5050.500746684239
2018-06-21,7217.490234375,5044.853195530547
2018-06-22,7197.509765625,5043.068022471321
2018-06-25,7038.169921875,5028.831659957361
2018-06-26,7068.2001953125,5031.514741909671
2018-06-27,6969.669921875,5022.7114654770885
2018-06-28,7031.60009765625,5028.2446730680185
2018-06-29,7040.7998046875,5029.066629216818
2018-07-02,7097.81982421875,5034.111159442284
2018-07-03,7014.5498046875,5025.498733077742
2018-07-05,7101.0498046875,5034.445228884114
2018-07-06,7207.330078125,5045.437552821786
2018-07-09,7276.0,5052.539924707088
2018-07-10,7282.60009765625,5053.22255760886
2018-07-11,7243.97998046875,5049.2281678232
2018-07-12,7366.25,5061.874274377898
2018-07-13,7375.81982421875,5062.864059259294
2018-07-16,7357.89990234375,5061.010643006055
2018-07-17,7403.89013671875,5065.76730704039
2018-07-18,7390.1298828125,5064.344115666207
2018-07-19,7352.35986328125,5060.437649523514
2018-07-20,7350.22998046875,5060.217360648946
2018-07-23,7371.77978515625,5062.446207322529
2018-07-24,7406.25,5066.011382265237
2018-07-25,7508.58984375,5076.596156634419
2018-07-26,7400.75,5065.442529930729
2018-07-27,7296.77978515625,5054.689130033767
2018-07-30,7193.10009765625,5043.965778710937
2018-07-31,7231.97998046875,5047.9870354569985
2018-08-01,7272.89013671875,5052.168303696859
2018-08-02,7372.14990234375,5063.798621838329
2018-08-03,7395.490234375,5066.533420629579
2018-08-06,7438.990234375,5071.63033815672
2018-08-07,7462.64990234375,5074.40255370514
2018-08-08,7469.5498046875,5075.2110188359775
2018-08-09,7466.9599609375,5074.9075655026
2018-08-10,7408.2998046875,5068.034324616728
2018-08-13,7401.169921875,5067.198912555268
2018-08-14,7447.169921875,5072.588756377072
2018-08-15,7354.66015625,5061.749339231192
2018-08-16,7374.2900390625,5064.049382765968
2018-08-17,7377.5400390625,5064.43018694903
2018-08-20,7371.419921875,5063.713089648774
2018-08-21,7397.22998046875,5066.737267580338
2018-08-22,7424.60009765625,5069.944238385232
2018-08-23,7413.83984375,5068.6834538626745
2018-08-24,7485.39990234375,5077.068182986576
2018-08-27,7559.1298828125,5085.7071629802995
2018-08-28,7570.25,5087.010112869882
2018-08-29,7660.18017578125,5097.547278137889
2018-08-30,7642.669921875,5095.495592619741
2018-08-31,7654.5498046875,5096.887564641061
2018-09-04,7622.31982421875,5093.061186126254
2018-09-05,7523.259765625,5080.155312120249
2018-09-06,7453.169921875,5071.023774087874
2018-09-07,7430.259765625,5068.038962709627
2018-09-10,7447.68017578125,5070.308551702417
2018-09-11,7507.8701171875,5078.150297520513
2018-09-12,7488.06005859375,5075.569377178936
2018-09-13,7561.68994140625,5085.162123278068
