date,open,high,low,close,volume
2018-01-02,12897.6904296875,12924.16015625,12745.150390625,12871.3896484375,86049300
2018-01-03,12916.1796875,13023.58984375,12893.0498046875,12978.2099609375,84809300
2018-01-04,13065.98046875,13208.349609375,13062.669921875,13167.8896484375,101199400
2018-01-05,13219.1103515625,13332.7998046875,13219.1103515625,13319.6396484375,112555000
2018-01-08,13399.6201171875,13407.8203125,13334.16015625,13367.7802734375,95005300
2018-01-09,13383.259765625,13425.01953125,13361.2197265625,13385.58984375,94770400
2018-01-10,13355.2802734375,13377.8798828125,13227.5703125,13281.33984375,120334900
2018-01-11,13281.2001953125,13298.650390625,13151.83984375,13202.900390625,110577300
2018-01-12,13241.2802734375,13265.1396484375,13168.009765625,13245.0302734375,87893300
2018-01-15,13244.3701171875,13250.3701171875,13173.7099609375,13200.509765625,58326200
2018-01-16,13228.599609375,13351.08984375,13196.5595703125,13246.330078125,85801600
2018-01-17,13200.919921875,13251.4404296875,13137.509765625,13183.9599609375,88144100
2018-01-18,13250.25,13293.2900390625,13201.33984375,13281.4296875,89644100
2018-01-19,13297.740234375,13445.4697265625,13294.8095703125,13434.4501953125,108147200
2018-01-22,13435.1396484375,13470.0498046875,13410.9599609375,13463.6904296875,95295700
2018-01-23,13577.1396484375,13596.8896484375,13517.8095703125,13559.599609375,97239000
2018-01-24,13572.7099609375,13576.83984375,13414.740234375,13414.740234375,105385100
2018-01-25,13374.3798828125,13443.3603515625,13222.4697265625,13298.3603515625,106119200
2018-01-26,13297.509765625,13348.6904296875,13268.3095703125,13340.169921875,75829200
2018-01-29,13358.900390625,13370.01953125,13274.83984375,13324.48046875,78822500
2018-01-30,13223.9697265625,13309.8603515625,13171.91015625,13197.7099609375,115152700
2018-01-31,13210.759765625,13268.41015625,13159.349609375,13189.48046875,111852500
2018-02-01,13235.150390625,13301.41015625,12971.7802734375,13003.900390625,122880100
2018-02-02,12954.58984375,12954.58984375,12782.0703125,12785.16015625,140869300
2018-02-05,12687.7900390625,12752.599609375,12622.4404296875,12687.490234375,113937900
2018-02-06,12232.8603515625,12550.16015625,12232.8603515625,12392.66015625,204856800
2018-02-07,12478.6796875,12651.2802734375,12414.83984375,12590.4296875,153471100
