date,open,high,low,close,volume,SMA_short,SMA_long,RSI,Signal
2018-04-09,12311.01953125,12371.1103515625,12205.3896484375,12261.75,77287300,12045.0400390625,12369.84806640625,55.86805492317484,0
2018-04-10,12389.900390625,12428.900390625,12334.9501953125,12397.3203125,99355700,12096.14111328125,12350.99107421875,61.595645050494795,0
2018-04-11,12372.0703125,12381.5302734375,12256.58984375,12293.9697265625,98812700,12146.812109375,12330.380859375,55.42634399220107,0
2018-04-12,12282.3896484375,12434.240234375,12263.7001953125,12415.009765625,82053600,12191.230078125,12314.72685546875,60.622717206679596,0
2018-04-13,12461.3095703125,12523.9697265625,12411.650390625,12442.400390625,76693800,12241.39912109375,12299.78525390625,61.75770561997535,0
2018-04-16,12478.990234375,12487.0400390625,12375.6298828125,12391.41015625,62656800,12270.86708984375,12287.53544921875,58.24194618706871,0
2018-04-17,12443.2001953125,12614.25,12417.259765625,12585.5703125,85350700,12329.1791015625,12283.54365234375,66.42885235370031,0
2018-04-18,12597.580078125,12640.25,12548.4501953125,12590.830078125,83029000,12392.4720703125,12281.61044921875,66.62824877644753,0
2018-04-19,12595.6103515625,12595.6103515625,12534.6298828125,12567.419921875,70668500,12418.69501953125,12285.10564453125,64.70395039927348,0
2018-04-20,12555.9599609375,12585.3701171875,12490.76953125,12540.5,111680200,12448.61806640625,12284.10705078125,62.37351929028344,0
2018-04-23,12538.16015625,12588.23046875,12466.4697265625,12572.3896484375,78154600,12479.68203125,12290.34904296875,64.09684188759043,0
2018-04-24,12602.41015625,12647.16015625,12481.2998046875,12550.8203125,106073600,12495.03203125,12299.21583984375,61.93824549121592,0
2018-04-25,12456.8203125,12484.7802734375,12312.26953125,12422.2998046875,108576800,12507.8650390625,12302.0064453125,50.53099782415052,0
2018-04-26,12395.900390625,12503.2197265625,12383.9501953125,12500.4697265625,119856800,12516.41103515625,12308.08583984375,56.06741148907779,0
2018-04-27,12572.7197265625,12627.7099609375,12518.0302734375,12580.8701171875,0,12530.2580078125,12312.9200390625,61.104357897676664,0
2018-04-30,12606.26953125,12622.9296875,12563.740234375,12612.1103515625,96521000,12552.32802734375,12318.23884765625,62.96067533486678,0
2018-05-02,12610.7802734375,12827.5400390625,12605.3798828125,12802.25,110911800,12573.99599609375,12325.2446484375,72.08340286183643,0
2018-05-03,12775.66015625,12798.16015625,12665.330078125,12690.150390625,98817100,12583.92802734375,12331.3356640625,61.9613930792465,0
