date,action,price,amount,shares,commission
2018-01-02,buy,2695.81005859375,33.333333333333336,0.0123586878421304,0.01665833749791771
2018-02-01,buy,2821.97998046875,33.333333333333336,0.011806134425624556,0.01665833749791771
2018-03-01,buy,2677.669921875,33.333333333333336,0.012442412981397609,0.01665833749791771
2018-04-02,buy,2581.8798828125,33.333333333333336,0.01290403756488579,0.01665833749791771
2018-05-01,buy,2654.800048828125,33.333333333333336,0.012549598607451428,0.01665833749791771
2018-06-01,buy,2734.6201171875,33.333333333333336,0.012183291853385812,0.016658337497917713
2018-07-02,buy,2726.7099609375,33.333333333333336,0.012218635451927733,0.01665833749791771
2018-08-01,buy,2813.360107421875,33.333333333333336,0.011842307320681521,0.01665833749791771
2018-09-04,buy,2896.719970703125,33.333333333333336,0.011501517348171012,0.01665833749791771
2018-10-01,buy,2924.590087890625,33.333333333333336,0.011391912710702386,0.01665833749791771
2018-11-01,buy,2740.3701171875,33.333333333333336,0.012157728179443524,0.01665833749791771
2018-12-03,buy,2790.3701171875,33.333333333333336,0.011939876645975669,0.01665833749791771
2019-01-02,buy,2510.030029296875,33.333333333333336,0.013273416894206755,0.01665833749791771
2019-02-01,buy,2706.530029296875,33.333333333333336,0.012309737795331501,0.01665833749791771
2019-03-01,buy,2803.68994140625,33.333333333333336,0.011883152449847839,0.01665833749791771
2019-04-01,buy,2867.18994140625,33.333333333333336,0.011619974845299167,0.01665833749791771
2019-05-01,buy,2923.72998046875,33.333333333333336,0.011395264001258383,0.01665833749791771
2019-06-03,buy,2744.449951171875,33.333333333333336,0.012139654790064312,0.01665833749791771
2019-07-01,buy,2964.330078125,33.333333333333336,0.011239192032524565,0.01665833749791771
2019-08-01,buy,2953.56005859375,33.333333333333336,0.011280175224098259,0.01665833749791771
2019-09-03,buy,2906.27001953125,33.333333333333336,0.011463723181925484,0.01665833749791771
2019-10-01,buy,2940.25,33.333333333333336,0.01133123883881827,0.01665833749791771
2019-11-01,buy,3066.909912109375,33.333333333333336,0.01086327148518057,0.01665833749791771
2019-12-02,buy,3113.8701171875,33.333333333333336,0.010699442732674928,0.01665833749791771
2020-01-02,buy,3257.85009765625,33.333333333333336,0.010226583175144853,0.01665833749791771
2020-02-03,buy,3248.919921875,33.333333333333336,0.010254692573834776,0.01665833749791771
2020-03-02,buy,3090.22998046875,33.333333333333336,0.01078129304498615,0.01665833749791771
2020-04-01,buy,2470.5,33.333333333333336,0.01348580246745008,0.01665833749791771
2020-05-01,buy,2830.7099609375,33.333333333333336,0.011769724011145706,0.01665833749791771
2020-06-01,buy,3055.72998046875,33.333333333333336,0.010903016696103702,0.01665833749791771
2020-07-01,buy,3115.860107421875,33.333333333333336,0.010692609375008913,0.01665833749791771
2020-08-03,buy,3294.610107421875,33.333333333333336,0.010112478839539122,0.01665833749791771
2020-09-01,buy,3526.64990234375,33.333333333333336,0.009447117212767203,0.016658337497917706
2020-10-01,buy,3380.800048828125,33.333333333333336,0.009854671827570478,0.01665833749791771
2020-11-02,buy,3310.239990234375,33.333333333333336,0.010064730984497743,0.01665833749791771
2020-12-01,buy,3662.449951171875,33.333333333333336,0.009096827380583063,0.016658337497917706
2021-01-04,buy,3700.64990234375,33.333333333333336,0.00900292539824824,0.016658337497917706
2021-02-01,buy,3773.860107421875,33.333333333333336,0.00882827504133316,0.01665833749791771
2021-03-01,buy,3901.820068359375,33.333333333333336,0.008538752277688784,0.01665833749791771
2021-04-01,buy,4019.8701171875,33.333333333333336,0.00828799787669394,0.01665833749791771
2021-05-03,buy,4192.66015625,33.333333333333336,0.007946428700206058,0.016658337497917706
2021-06-01,buy,4202.0400390625,33.333333333333336,0.007928690513684054,0.016658337497917706
2021-07-01,buy,4319.93994140625,33.333333333333336,0.007712300505962589,0.01665833749791771
2021-08-02,buy,4387.16015625,33.333333333333336,0.0075941323793187925,0.01665833749791771
2021-09-01,buy,4524.08984375,33.333333333333336,0.007364282352142539,0.01665833749791771
2021-10-01,buy,4357.0400390625,33.333333333333336,0.007646630441111149,0.01665833749791771
2021-11-01,buy,4613.669921875,33.333333333333336,0.007221295749370707,0.01665833749791771
2021-12-01,buy,4513.0400390625,33.333333333333336,0.007382313187444341,0.01665833749791771
2022-01-03,buy,4796.56005859375,33.333333333333336,0.006945951804803036,0.016658337497917706
2022-02-01,buy,4546.5400390625,33.333333333333336,0.007327918529164728,0.01665833749791771
